Id,SalePrice
1461,125498.54666666666
1462,151779.38
1463,177938.88
1464,184845.89333333334
1465,193867.02
1466,181523.8
1467,171712.28
1468,176260.92666666667
1469,177998.96
1470,129607.36
1471,200628.39333333334
1472,95292.88666666667
1473,99287.22
1474,153197.0
1475,123753.23333333334
1476,373248.06666666665
1477,246982.98666666666
1478,304101.87333333335
1479,267780.2
1480,493720.44
1481,300856.4666666667
1482,209693.32
1483,185288.89333333334
1484,170343.90666666668
1485,172927.5
1486,199093.1
1487,310042.64
1488,234274.06666666668
1489,207446.69333333333
1490,207580.02666666667
1491,191013.46
1492,101319.90666666666
1493,175457.18
1494,299259.18666666665
1495,290484.69333333336
1496,229789.21333333335
1497,189883.47333333333
1498,156920.72
1499,153179.07333333333
1500,161726.31333333332
1501,173976.68666666668
1502,160595.02666666667
1503,288199.81333333335
1504,226071.33333333334
1505,213974.02
1506,180054.06666666668
1507,243806.27333333335
1508,192419.68
1509,161487.83333333334
1510,151651.64
1511,153330.0
1512,166231.66666666666
1513,149523.3
1514,151582.09333333332
1515,198571.81333333332
1516,159366.28666666665
1517,151761.4
1518,135973.75333333333
1519,224873.10666666666
1520,139914.83333333334
1521,144093.06
1522,161694.33333333334
1523,118346.50666666667
1524,123044.91333333333
1525,126396.88
1526,128219.22
1527,107788.14
1528,125705.10666666667
1529,142990.06666666668
1530,167701.13333333333
1531,138754.54
1532,108100.33333333333
1533,149513.86666666667
1534,118023.85333333333
1535,157762.22666666665
1536,121370.24
1537,90531.57333333333
1538,172093.56
1539,224102.52
1540,124348.66666666667
1541,141573.64
1542,138965.78666666665
1543,195035.99333333335
1544,83179.94
1545,103637.50666666667
1546,124632.33333333333
1547,138589.89333333334
1548,131191.42666666667
1549,115352.85333333333
1550,138208.36666666667
1551,119887.96
1552,153910.33333333334
1553,149972.82666666666
1554,114220.63333333333
1555,169682.46666666667
1556,101913.26666666666
1557,126204.4
1558,95716.44666666667
1559,121484.34666666666
1560,148842.76
1561,157633.49333333335
1562,127080.0
1563,124634.05333333333
1564,161094.92
1565,156551.76
1566,227331.90666666668
1567,84235.50666666667
1568,222768.09333333332
1569,147849.57333333333
