Id,SalePrice
1461,124277.86
1462,167862.27
1463,186773.77
1464,191030.56
1465,175580.75
1466,171584.27
1467,174869.7
1468,171578.2
1469,185539.56
1470,129876.18
1471,200026.55
1472,87351.13
1473,102775.695
1474,155919.06
1475,128141.086
1476,411027.12
1477,265300.1
1478,312771.7
1479,262823.38
1480,550006.1
1481,352745.6
1482,203144.73
1483,166345.14
1484,163501.69
1485,162259.64
1486,191309.67
1487,364320.75
1488,239901.4
1489,200387.4
1490,215146.12
1491,188130.8
1492,84016.46
1493,194590.72
1494,282694.5
1495,305645.53
1496,252195.22
1497,180750.98
1498,158027.72
1499,150897.56
1500,157436.4
1501,179854.44
1502,135606.36
1503,320304.28
1504,228180.34
1505,228310.73
1506,197117.64
1507,247610.19
1508,203162.75
1509,171040.22
1510,153591.08
1511,144319.45
1512,169962.98
1513,135904.66
1514,151869.45
1515,180486.92
1516,167577.08
1517,158388.33
1518,132003.36
1519,246532.2
1520,131976.17
1521,132365.66
1522,176239.55
1523,111867.945
1524,124691.0
1525,121385.54
1526,114705.43
1527,100699.34
1528,135021.14
1529,152070.9
1530,179358.22
1531,99084.086
1532,100956.95
1533,145107.62
1534,118009.25
1535,147347.9
1536,107824.66
1537,55854.254
1538,177898.3
1539,171501.16
1540,93877.78
1541,134153.73
1542,148683.97
1543,264933.75
1544,77617.27
1545,106567.65
1546,129287.945
1547,135265.25
1548,127737.95
1549,112031.4
1550,145501.31
1551,107139.22
1552,116917.72
1553,141131.4
1554,98410.0
1555,171462.89
1556,95902.234
1557,92805.05
1558,102403.04
1559,80105.48
1560,141318.2
1561,142214.17
1562,124555.87
1563,121076.04
1564,151177.0
1565,149356.47
1566,211907.58
1567,62806.055
1568,221502.12
1569,121899.8
1570,135649.81
1571,117065.88
1572,141241.55
1573,241744.7
1574,111498.78
1575,231794.66
1576,210321.47
1577,203013.42
1578,143488.62
1579,142869.94
1580,192930.25
1581,150001.1
1582,129169.14
1583,333042.16
1584,238262.73
1585,141383.05
1586,80256.27
1587,95689.28
1588,158339.23
1589,94956.94
1590,126275.77
1591,94150.97
1592,112023.7
1593,134362.83
1594,131031.945
1595,117754.17
1596,267014.2
1597,213831.69
1598,209640.02
1599,162895.62
1600,157522.0
1601,72908.43
1602,103532.89
1603,83316.305
1604,269087.38
1605,256476.67
1606,178650.45
1607,121000.664
1608,213697.95
1609,184003.7
1610,154310.2
1611,136845.36
1612,166336.58
1613,158436.52
1614,116780.2
1615,80113.195
1616,72604.445
1617,88449.016
1618,126231.46
1619,123399.07
1620,175465.9
1621,134159.88
1622,134293.0
1623,262041.28
1624,187504.23
1625,130662.21
1626,171709.48
1627,189415.47
1628,281757.06
1629,180013.84
1630,443704.66
1631,242803.38
1632,236883.39
1633,164547.23
1634,185830.69
1635,175536.55
1636,153612.33
1637,206015.81
1638,190953.88
1639,178886.06
1640,269082.25
1641,177657.38
1642,226895.94
1643,232525.52
1644,231016.97
1645,172320.89
1646,160841.31
1647,157222.14
1648,133841.92
1649,134268.94
1650,109007.36
1651,129379.46
1652,92149.86
1653,86805.37
1654,154667.62
1655,149509.66
1656,148083.69
1657,160526.86
1658,150406.92
1659,143654.7
1660,150832.38
1661,510998.12
1662,417288.1
1663,391997.66
1664,240866.31
1665,337335.47
